cluster,port,vm_name,username,email,password,email_recover,proxy,group,
worker-1,31000,VM_0,,,,,,group_fr,
worker-1,31001,VM_1,,,,,,group_fr,
worker-1,31002,VM_2,,,,,,group_fr,
worker-1,31003,VM_3,,,,,,group_fr,
worker-1,31004,VM_4,,,,,,group_fr,
worker-1,31005,VM_5,,,,,,group_fr,
worker-1,31007,VM_7,,,,,,group_fr,
worker-1,31008,VM_8,,,,,,group_fr,
worker-1,31009,VM_9,,,,,,group_fr,
worker-1,31010,VM_10,,,,,,group_fr,
worker-1,31011,VM_11,,,,,,group_nether,
worker-1,31012,VM_12,,,,,,group_nether,
worker-1,31013,VM_13,,,,,,group_nether,
worker-1,31014,VM_14,,,,,,group_nether,
worker-1,31015,VM_15,,,,,,group_nether,
worker-1,31016,VM_16,,,,,,group_nether,
worker-1,31017,VM_17,,,,,,group_nether,
worker-1,31018,VM_18,,,,,,group_nether,
worker-1,31019,VM_19,,,,,,group_nether,
worker-1,31020,VM_20,,,,,,group_nether,
worker-1,31021,VM_21,,,,,,group_rus,
worker-1,31022,VM_22,,,,,,group_rus,
worker-1,31023,VM_23,,,,,,group_rus,
worker-1,31024,VM_24,,,,,,group_rus,
worker-1,31025,VM_25,,,,,,group_rus,
worker-1,31026,VM_26,,,,,,group_rus,
worker-1,31027,VM_27,,,,,,group_rus,
worker-1,31028,VM_28,,,,,,group_rus,
worker-1,31029,VM_29,,,,,,group_rus,
worker-1,31030,VM_30,,,,,,group_rus,
worker-1,31031,VM_31,,,,,,group_sing,
worker-1,31032,VM_32,,,,,,group_sing,
worker-1,31033,VM_33,,,,,,group_sing,
worker-1,31034,VM_34,,,,,,group_sing,
worker-1,31035,VM_35,,,,,,group_sing,
worker-1,31036,VM_36,,,,,,group_sing,
worker-1,31037,VM_37,,,,,,group_sing,
worker-1,31038,VM_38,,,,,,group_sing,
worker-1,31039,VM_39,,,,,,group_sing,
worker-1,31040,VM_40,,,,,,group_sing,
worker-1,31041,VM_41,,,,,,group_uk,
worker-1,31042,VM_42,,,,,,group_uk,
worker-1,31043,VM_43,,,,,,group_uk,
worker-1,31044,VM_44,,,,,,group_uk,
worker-1,31045,VM_45,,,,,,group_uk,
worker-1,31046,VM_46,,,,,,group_uk,
worker-1,31047,VM_47,,,,,,group_uk,
worker-1,31048,VM_48,,,,,,group_uk,
worker-1,31049,VM_49,,,,,,group_uk,
worker-1,31050,VM_50,,,,,,group_uk,
worker-1,31051,VM_51,,,,,,group_us_vir,
worker-1,31052,VM_52,,,,,,group_us_vir,
worker-1,31053,VM_53,,,,,,group_us_vir,
worker-1,31054,VM_54,,,,,,group_us_vir,
worker-1,31055,VM_55,,,,,,group_us_vir,
worker-1,31056,VM_56,,,,,,group_us_vir,
worker-1,31057,VM_57,,,,,,group_us_vir,
worker-1,31058,VM_58,,,,,,group_us_vir,
worker-1,31059,VM_59,,,,,,group_us_vir,
worker-1,31060,VM_60,,,,,,group_us_vir,
worker-1,31061,VM_61,,,,,,group_us_ore,
worker-1,31062,VM_62,,,,,,group_us_ore,
worker-1,31063,VM_63,,,,,,group_us_ore,
worker-1,31064,VM_64,,,,,,group_us_ore,
worker-1,31065,VM_65,,,,,,group_us_ore,
worker-1,31066,VM_66,,,,,,group_us_ore,
worker-1,31067,VM_67,,,,,,group_us_ore,
worker-1,31068,VM_68,,,,,,group_us_ore,
worker-1,31069,VM_69,,,,,,group_us_ore,
worker-1,31070,VM_70,,,,,,group_us_ore,
